Liên kết,Tên công việc,Mức lương,Khu vực tuyển
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-hanh-tong-hop-c1p122id200360126.html?open_from=0201_1_21&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Vận Hành (Tổng Hợp),9 - 10 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-tu-van-ban-hang-du-lich-nghi-duong-thu-nhap-len-toi-40m-khach-hang-co-san-ty-le-chot-cao-ha-noi-c13p73id200355529.html?open_from=0201_1_22&search_id=96750c40abd0128a72e94cf1f23ed3bd,"Nhân Viên Kinh Doanh - Tư Vấn Bán Hàng Du Lịch Nghỉ Dưỡng (Thu Nhập Lên Tới 40M, Khách Hàng Có Sẵn - Tỷ Lệ Chốt Cao) _ Hà Nội",20 - 40 triệu,"Hà Nội, TP.HCM"
https://vieclam24h.vn/cham-soc-khach-hang/nv-dat-lich-hen-su-kien-thu-nhap-tu-15-20-tr-khong-chot-sale-chi-lam-viec-tai-van-phong-c30p73id200355527.html?open_from=0201_1_23&search_id=96750c40abd0128a72e94cf1f23ed3bd,NV Đặt Lịch Hẹn Sự Kiện Thu Nhập Từ 15 - 20 Tr (Không Chốt Sale / Chỉ Làm Việc Tại Văn Phòng),15 - 20 triệu,Hà Nội
https://vieclam24h.vn/nhan-su/chuyen-vien-nhan-su-tong-hop-c22p73id200358550.html?open_from=0201_1_24&search_id=96750c40abd0128a72e94cf1f23ed3bd,Chuyên Viên Nhân Sự Tổng Hợp,12 - 15 triệu,Hà Nội
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-c17p119id200366354.html?open_from=0201_1_25&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Kế Toán Tổng Hợp,11 - 13 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-iso-chi-can-biet-tieng-trung-c1p119id200360847.html?open_from=0201_1_26&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên ISO (Chỉ Cần Biết Tiếng Trung),10 - 15 triệu,Bình Dương
https://vieclam24h.vn/bien-phien-dich/thong-dich-vien-tieng-han-nganh-may-mac-c37p122id200364069.html?open_from=0201_1_27&search_id=96750c40abd0128a72e94cf1f23ed3bd,Thông Dịch Viên Tiếng Hàn (Ngành May Mặc),15 - 20 triệu,TP.HCM
https://vieclam24h.vn/xuat-nhap-khau/nhan-vien-xuat-nhap-khau-lam-viec-tai-binh-phuoc-c15p117id200365189.html?open_from=0201_1_28&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Xuất Nhập Khẩu (Làm Việc Tại Bình Phước),10 - 18 triệu,"Bình Phước, TP.HCM"
https://vieclam24h.vn/ke-toan/nu-ke-toan-tong-hop-1-nam-kinh-nghiem-luong-10-12-trieu-q-binh-tan-c17p122id200363295.html?open_from=0201_1_29&search_id=96750c40abd0128a72e94cf1f23ed3bd,"Nữ Kế Toán Tổng Hợp 1 Năm Kinh Nghiệm, Lương 10 - 12 Triệu (Q. Bình Tân)",10 - 12 triệu,TP.HCM
https://vieclam24h.vn/bien-phien-dich/phien-dich-vien-tieng-trung-c37p120id200361767.html?open_from=0201_1_30&search_id=96750c40abd0128a72e94cf1f23ed3bd,Phiên Dịch Viên Tiếng Trung,14 - 17 triệu,Đồng Nai
https://vieclam24h.vn/hanh-chinh-thu-ky/cong-tac-vien-quan-ly-tai-san-kv-hcm-c1p122id200361776.html?open_from=0201_1_1&search_id=ada90e62d16587ea02dc7abfa31244a1,Cộng Tác Viên Quản Lý Tài Sản - Kv HCM,8 - 10 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/cong-tac-vien-quan-ly-tai-san-c1p73id200361019.html?open_from=0201_1_2&search_id=ada90e62d16587ea02dc7abfa31244a1,Cộng Tác Viên Quản Lý Tài Sản,8 - 10 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-giam-sat-luu-luong-giao-thong-di-lam-ngay-c1p122id200356374.html?open_from=0201_1_3&search_id=ada90e62d16587ea02dc7abfa31244a1,Nhân Viên Giám Sát Lưu Lượng Giao Thông (Đi Làm Ngay),5 - 7 triệu,TP.HCM
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-tu-van-tuyen-sinh-c30p122id200257019.html?open_from=0201_1_4&search_id=ada90e62d16587ea02dc7abfa31244a1,Nhân Viên Tư Vấn Tuyển Sinh,7 - 10 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-phien-dich-tieng-nhat-c1p122id200367984.html?open_from=0201_1_5&search_id=ada90e62d16587ea02dc7abfa31244a1,Thực Tập Sinh Phiên Dịch (Tiếng Nhật),5 - 15 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/thu-ky-cong-trinh-c1p120id200366695.html?open_from=0201_1_6&search_id=ada90e62d16587ea02dc7abfa31244a1,Thư Ký Công Trình,9 - 10 triệu,Đồng Nai
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-xu-ly-du-lieu-hop-dong-3-thang-c1p73id200366529.html?open_from=0201_1_7&search_id=ada90e62d16587ea02dc7abfa31244a1,Nhân Viên Xử Lý Dữ Liệu (Hợp Đồng 3 Tháng),5 - 10 triệu,Hà Nội
https://vieclam24h.vn/ke-toan/nhan-vien-thu-ngan-retail-c17p122id200362796.html?open_from=0201_1_8&search_id=ada90e62d16587ea02dc7abfa31244a1,Nhân Viên Thu Ngân (Retail),7 - 9 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-c13p122id200361576.html?open_from=0201_1_9&search_id=ada90e62d16587ea02dc7abfa31244a1,Nhân Viên Kinh Doanh,5 - 100 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/training-admin-hop-dong-12-thang-c1p122id200360192.html?open_from=0201_1_10&search_id=ada90e62d16587ea02dc7abfa31244a1,Training Admin (Hợp Đồng 12 Tháng),8 - 10 triệu,TP.HCM
https://vieclam24h.vn/moi-truong-xu-ly-chat-thai/nhan-vien-tu-van-moi-truong-c44p123id200357694.html?open_from=0201_1_11&search_id=ada90e62d16587ea02dc7abfa31244a1,Nhân Viên Tư Vấn Môi Trường,10 - 12 triệu,"Long An, Bình Dương, Đồng Nai"
https://vieclam24h.vn/giao-duc-dao-tao/giao-vien-tieng-anh-part-time-tai-bien-hoa-dong-nai-c32p120id200364362.html?open_from=0201_1_1&search_id=196f923adcb7cb93990c3726eaa8f1ec,Giáo Viên Tiếng Anh Part-Time Tại Biên Hòa Đồng Nai,5 - 12 triệu,Đồng Nai
https://vieclam24h.vn/giao-duc-dao-tao/giao-vien-tieng-anh-full-time-part-time-c32p122id200360085.html?open_from=0201_1_2&search_id=196f923adcb7cb93990c3726eaa8f1ec,Giáo Viên Tiếng Anh (Full-Time / Part-Time),6.5 - 15 triệu,TP.HCM
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-cham-soc-khach-hang-nu-khong-yeu-cau-kinh-nghiem-c30p119id200362383.html?open_from=0201_1_3&search_id=196f923adcb7cb93990c3726eaa8f1ec,Nhân Viên Chăm Sóc Khách Hàng (Nữ) - Không Yêu Cầu Kinh Nghiệm,10 - 20 triệu,Bình Dương
https://vieclam24h.vn/thu-mua-kho-van-chuoi-cung-ung/nhan-vien-ban-hang-dong-goi-check-don-hang-c14p122id200368735.html?open_from=0201_1_4&search_id=196f923adcb7cb93990c3726eaa8f1ec,"Nhân Viên Bán Hàng (Đóng Gói, Check Đơn Hàng)",11 - 15 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/tro-ly-nhan-su-c22p122id200366182.html?open_from=0201_1_5&search_id=196f923adcb7cb93990c3726eaa8f1ec,Trợ Lý Nhân Sự,5 - 7 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-tu-van-ban-hang-noi-that-tai-showroom-c1p122id200298967.html?open_from=0201_1_6&search_id=196f923adcb7cb93990c3726eaa8f1ec,Nhân Viên Tư Vấn Bán Hàng Nội Thất Tại Showroom,6 - 15 triệu,TP.HCM
https://vieclam24h.vn/giao-duc-dao-tao/tro-giang-tieng-anh-part-time-tai-bien-hoa-dong-nai-c32p120id200366012.html?open_from=0201_1_7&search_id=196f923adcb7cb93990c3726eaa8f1ec,Trợ Giảng Tiếng Anh Part-Time Tại Biên Hòa Đồng Nai,3 - 6 triệu,Đồng Nai
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-bien-phien-dich-tieng-trung-c1p122id200343416.html?open_from=0201_1_8&search_id=196f923adcb7cb93990c3726eaa8f1ec,Thực Tập Sinh Biên Phiên Dịch (Tiếng Trung),3 - 5 triệu,TP.HCM
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-le-tan-clb-bida-c30p122id200362609.html?open_from=0201_1_9&search_id=196f923adcb7cb93990c3726eaa8f1ec,Nhân Viên Lễ Tân Clb Bida,12 - 15 triệu,TP.HCM
https://vieclam24h.vn/tu-van/giao-dich-vien-viettel-di-lam-ngay-c178p122id200143306.html?open_from=0201_1_10&search_id=196f923adcb7cb93990c3726eaa8f1ec,Giao Dịch Viên Viettel - Đi Làm Ngay,4 - 5 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-le-tan-nu-parttime-c1p122id200360620.html?open_from=0201_1_11&search_id=196f923adcb7cb93990c3726eaa8f1ec,Nhân Viên Lễ Tân Nữ Parttime,2.5 - 3 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-tro-ly-hanh-chinh-c1p122id200360407.html?open_from=0201_1_12&search_id=196f923adcb7cb93990c3726eaa8f1ec,Thực Tập Sinh Trợ Lý Hành Chính,2 - 3 triệu,TP.HCM
https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-le-tan-khach-san-nam-c5p122id200360358.html?open_from=0201_1_13&search_id=196f923adcb7cb93990c3726eaa8f1ec,Nhân Viên Lễ Tân Khách Sạn (Nam),7.5 - 9 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-tuyen-sinh-c1p73id200355889.html?open_from=0201_1_14&search_id=196f923adcb7cb93990c3726eaa8f1ec,Trợ Lý Tuyển Sinh,3 - 50 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-hanh-chinh-nhan-su-nu-c1p122id200349994.html?open_from=0201_1_1&search_id=56327fec0c076ebf87917802ea2afd96,Thực Tập Sinh Hành Chính Nhân Sự (Nữ),0.5 - 1 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-quan-tri-kinh-doanh-nu-c1p122id200344051.html?open_from=0201_1_2&search_id=56327fec0c076ebf87917802ea2afd96,Thực Tập Sinh Quản Trị Kinh Doanh (Nữ),0.5 - 1 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-thu-ngan-f-b-c17p122id200357342.html?open_from=0201_1_1&search_id=2e1892345cf23dfe09e0ae48b8c574cf,Nhân Viên Thu Ngân (F&b),7.5 - 9 triệu,TP.HCM
https://vieclam24h.vn/quan-ly-tieu-chuan-va-chat-luong/nhan-vien-kiem-soat-chat-luong-va-rui-ro-c28p90id200366850.html?open_from=0201_1_2&search_id=2e1892345cf23dfe09e0ae48b8c574cf,Nhân Viên Kiểm Soát Chất Lượng Và Rủi Ro,15 - 25 triệu,Bắc Ninh
https://vieclam24h.vn/nhan-su/nhan-vien-tuyen-dung-c22p73id200361897.html?open_from=0201_1_3&search_id=2e1892345cf23dfe09e0ae48b8c574cf,Nhân Viên Tuyển Dụng,5 - 10 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-giam-doc-c1p117id200358332.html?open_from=0201_1_4&search_id=2e1892345cf23dfe09e0ae48b8c574cf,Trợ Lý Giám Đốc,10 - 20 triệu,Bình Phước
https://vieclam24h.vn/nhan-su/cong-tac-vien-tuyen-dung-lam-viec-online-tai-nha-c22p122id200361833.html?open_from=0201_1_1&search_id=f4444b56628f5314a889e3ee52e6f12b,Cộng Tác Viên Tuyển Dụng - Làm Việc Online Tại Nhà,1 - 10 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/ha-noi-thuc-tap-sinh-tuyen-dung-c22p73id200365031.html?open_from=0201_1_2&search_id=f4444b56628f5314a889e3ee52e6f12b,[Hà Nội] Thực Tập Sinh Tuyển Dụng,1 - 2 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-hanh-chinh-c1p73id200366334.html?open_from=0201_1_3&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Hành Chính,2 - 3 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-hanh-chinh-di-lam-ngay-c1p122id200364505.html?open_from=0201_1_4&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Hành Chính - Đi Làm Ngay,2 - 4 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-phong-nhan-su-c1p119id200363754.html?open_from=0201_1_5&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Phòng Nhân Sự,2 - 3 triệu,Bình Dương
https://vieclam24h.vn/khach-san-nha-hang-du-lich/thuc-tap-sinh-thu-tuc-visa-c5p122id200320018.html?open_from=0201_1_6&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Thủ Tục Visa,1 - 1.5 triệu,TP.HCM
https://vieclam24h.vn/nhan-su/thuc-tap-sinh-tuyen-dung-c22p73id200304137.html?open_from=0201_1_7&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Tuyển Dụng,2 - 3 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-nhan-su-hr-intern-c1p73id200361446.html?open_from=0201_1_8&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Nhân Sự - HR Intern,2 - 10 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/thuc-tap-sinh-nhan-su-tong-hop-c1p73id200337597.html?open_from=0201_1_9&search_id=f4444b56628f5314a889e3ee52e6f12b,Thực Tập Sinh Nhân Sự Tổng Hợp,2 - 3 triệu,Hà Nội
